Sujet de la remontée,Référent,Personne à contacter,Adresse mail à contacter,Type de source,Source,Comportement souhaité,Plate-forme,Date de renseignement,Backlog web,Backlog app,Impact,Photo,Informations complémentaires,"Si c'est un bug, comment l'as-tu trouvé ?",Etat,Fonctionnalités générales,Type,Urgence,Roadmap copy,🧐 Bug ? RU ? Idée ?,Slack (from Référent),Traité le ,Référent de la remonté,Synchro AT soliguide
,Agathe Thomas,Rachel Berthelé et Julien - Sophie Calmettes - Helène Coeurderoy,,Association,"SIAO, la Case, Foyer Fraternel ","Mettre en évidence sur le Soliguide un genre de volet « urgence, alerte ! » qui recenserait par exemple un lieu d'écoute, un lieu pour se réfugier en cas d'urgence ou de crise. Cela pourrait être fait pour les femmes victimes de violence conjugales par exemple, mais aussi sur d'autres aspects urgents / crise
Ex : certaines asso sont uniquement sur orientation donc en cas de crise les personnes ne pourront pas s'y rendre ! Peut-être utile de répertorier quelques asso inconditionnelles qui peuvent être accueillantes sans condition en cas de crise ou d’urgence
",Multiple,1/6/2021,,,,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,Rachel Berthelé et Julien - Sophie Calmettes - Helène Coeurderoy,,Association,"SIAO, la Case, Foyer Fraternel ","Rajouter la catégorie interprétariat / traduction
",Multiple,1/6/2021,,,,,,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,"Les structures sont souvent amenés à partager les informations qu'ils mettent sur soliguide à d'autres structures : par exemple à la croix-rouge, ils font remonter des tableaux aux antennes départementales puis régionales etc. ou pendant les fermetures d'été pour de multiples raisons.

Nous pourrions leur faciliter la vie en permettant d'exporter les données qu'ils ont rentré sur Soliguide directement en excel ou csv (ex. en PJ : ulule permet d'exporter les contributions à une campagne de crowdfunding) depuis leur dashboard. 

L'impact serait de renforcer l'intérêt à rentrer les infos dans Soliguide, puisqu'ils n'auraient plus qu'à les renvoyer tels quels.",Base de donnée,31/5/2021,,,Mineur,image.png (https://dl.airtable.com/.attachments/6a415b791f0527182c3134558c1186ad/aa22ecf5/image.png),,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,Benjamin RAFALI ,brafali@emmaus-connect.org,Professionnel de l'action sociale,EMMAÜS Connect Strasbourg,"Proposer aux associations de pouvoir gérer les inscriptions à leurs activités directement sur le Soliguide

Par exemple : si une structure organise un événement ou un atelier et que ce n’est pas dans son habitude, qu’elle a du mal à communiquer, elle pourrait le faire sur sa page Soliguide en mettant : 10 places pour un atelier entretien d’embauche tel jour. Les personnes pourraient s'inscrire directement sur le Soliguide et la structure pourrait gérer les inscriptions directement sur la plateforme. 

Cela vaut également pour les associations qui ne s’adressent pas forcément à un public précaire, mais qui proposent des activités gratuites, cela permettrait de créer de la mixité sociale. ",Multiple,27/5/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,Nicolas DUCOURNAU,n.ducournau@ithaque-asso.fr,Professionnel de l'action sociale,"SCMR Argos, Ithaque","En donnant la possibilité d'accéder à une version du site ou à une application simplifiée, la plateforme gagnerait en lisibilité et en fluidité pour les bénéficiaires. 

Nous pourrions développer une version du site ou une application simplifiée fonctionnant avec des boutons : 

- “Je cherche…. (à manger, où me laver, où me reposer, où laver mes vêtements  etc…)”   /  
- “Je suis….. (homme / femme + famille, étudiant, réfugié…)”

Les résultats de cette recherche pourrait également être simplifiée au lieu d'afficher toute la fiche de la structure.
Ex: ""Je cherche: à manger""              ""Je suis: un homme / seul"" 
Résultat: 
1) Abribus: Distribution alimentaire le jeudi et le vendredi de 19h à 20h"" 
2) Strasbourg Action Solidarité: Distribution alimentaire le mardi et le jeudi de 19h à 20h30     +     Restauration assise du lundi au jeudi de 19h à 21h
3) .......
4) .......


Dans ces cas là, il n'est pas la peine d'indiquer tous les services qui sont sur orientation (ex: colis alimentaire) + Cela concernerait essentiellement les services de premières nécessité (manger, se doucher, laver ses vêtements etc...) L'idée est de pouvoir afficher à peu près les mêmes résultats que ceux que nous affichons sur les exports papiers.

A défaut, il pourrait être possible de mettre cette fonctionnalité sous la même forme que les ""fiches pratiques""           ",Multiple,27/5/2021,,,Majeur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,Daphnée Pinot,,Professionnel de l'action sociale,Eurométropole de Strasbourg,"Il pourrait être judicieux de les rendre plus visible sur le site, de mieux informer les utilisateurs de cette fonctionnalité en faisant un onglet plus gros par exemple ou en le mettant en valeur d'une façon ou d'une autre afin qu'elles gagnent en lisibilité et visibilité. (changer de couleur, changer de police, changer de taille, etc).",Plate-forme Web V2,27/5/2021,,,Mineur,,,,A traiter (-),🖌 Refonte de la page de résultat de recherche ,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,,,Ne sait pas,,"Il serait bien de développer une version adressée aux personnes malvoyantes en ajoutant une commande vocale. Ce serait une version simplifiée qui se baserait sur la fonctionnalité ""Je suis..."" ""Je cherche... "" (voir formulaire ""idée"" fait plus haut) avec éventuellement une commande vocale et un système de géolocalisation ",Multiple,27/5/2021,,,Mineur,,,,A traiter (-),Accessibilité ,Idée,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,Tatiana BALAN,,115,SIAO 67,"Tatiana BALAN : “Au 115 nous avons aussi le rôle de guider les gens, ça nous aide beaucoup [le Soliguide ] car en papier ce n’est pas pratique . Mais je trouve qu'il n’y a pas assez de mises à jour. Nous recevons beaucoup d'informations des associations. Nous sommes les usagers qui connaissons le plus tôt les changements des associations !” 

Serait-il envisageable de donner la possibilité au SIAO de modifier les fiches des structures elles-mêmes?
",Multiple,27/5/2021,,,Majeur,,,,A traiter (-),👯‍♂️ Gestion des utilisateurs,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,,,115,SIAO 67,"Ajouter des catégories de matériels pour répondre à un besoin précis / à la recherche d’un produit en particulier (sacs de couchage, tentes, poussettes...)

Les écoutant.e.s 115 se retrouvent souvent confrontés à une situation où on leur demande d'indiquer où il est possible de trouver du matériel très précis (duvets, poussettes, tentes etc...). Il serait pertinent de rajouter une fonctionnalité qui permet de chercher directement ce type de matériel au lieu de devoir naviguer entre les fiches",Multiple,27/5/2021,,,Mineur,,,,A traiter (-),"Amélioration de la recherche,🍄 Recherche par pertinence",Idée,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,,,Ne sait pas,,"Développer une version basée sur la méthode Facile A Lire et à Comprendre (FALC). C'est à dire : 
- mots simples
- pas de métaphores, de sigles, d'abréviations, de caractères spéciaux, de gros nombres
- phrases courtes (pas de ""et"", refaire plutôt une phrase)
- taille de police minimum 14
- en minuscule
- informations importantes mises en valeur (en gras, en gros, encadrées)
- préférer les images/ graphiques simples/ pictogrammes/ symboles aux longs textes

Cette méthode peut être appliquée pour la  ""version"" avec les boutons ""Je suis"" / ""Je cherche"" (voir formulaire ""idée"" plus haut)",Multiple,27/5/2021,,,Mineur,,,,A traiter (-),Accessibilité ,Idée,,,,,4/11/2021 12:07pm,,
,,,,Association,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recyZts6dB7T0d0yQ,que le site puisse être accessible aux non voyants (vérifier si le codage permet aux application de liseuse de fonctionner),,25/5/2021,,,Mineur,,,,A traiter (-),Accessibilité ,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recemyollyr7CxUiS,"Avoir une catégorie ""Puériculture"" ou ""Matériel bébé""",Plate-forme Web V2,24/5/2021,,,Majeur,,,,A traiter (-),➕ Ajouter des catégories,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Structure de l'action sociale,L'Ordre de Malte (délégation de Nantes),"Pierrot m'a dit de te faire une demande de fonctionnalité pour créer des tickets, c'est du chinois pour moi mais en gros j'aimerais bien que cette personne puisse faire ce qu'elle veut sur les fiches des autres délégations (qui à mon avis ne vont pas assez vite sur l'appropriation de Soliguide pour celle qui bosse à Nantes, ce qui est top top top). Après il y a le risque que si la personne qui a accès à toutes les fiches s'en va, plus rien ne bouge mais à voir, elle peut aussi éventuellement former ses collègues!",Outils (pour collaborateurs),18/5/2021,,,Mineur,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Structure de l'action sociale,D'étudiants de BTS à qui j'ai fait un atelier,"J'ai inscris dans le tableau des synonymes pour ""psychologue"" le mot ""violence conjugales"" mais j'aimerais proposer cette expression comme une catégorie à part où apparaîtraient toutes les structures dédiées aux femmes victimes de violences conjugales: médecin, gynéco, avocats, psychologue... ",Plate-forme Web V2,17/5/2021,,,Majeur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Equipe Soliguide,,"Que je puisse revenir sur la page des résultats, et ne pas avoir à sortir de l'appli.",App,11/5/2021,,"""""""page suivante""""/""""précédente""""""",Critique,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recHXBHxMhE8rrazB,"Pouvoir faire une recherche non pas uniquement avec l'adresse de la structure, mais aussi avec les villes renseignées (en général) dans ""Autre information importante"" dans ""Type d'accueil"".",Plate-forme Web V2,10/5/2021,,,Majeur,_9IXJfUo4dpt5pcc6HOfeNwXtFFHRuBVtsHpKj3NbwVJYAg0F2MVgSAnHK6pxP49vFkYYE3dBqqveMzHA-2ISPT1xtTnWUjVF1pYYvAFPHlMHj0P_k7niSpNEZnGH7rS5HjEsqp0FCljxI5ODaxpVMpPr5zWWXwEv6wkL8XnAs0 (https://dl.airtable.com/.attachments/526adb7ffd9163679a6c9fa301f6f621/d7ce8614/_9IXJfUo4dpt5pcc6HOfeNwXtFFHRuBVtsHpKj3NbwVJYAg0F2MVgSAnHK6pxP49vFkYYE3dBqqveMzHA-2ISPT1xtTnWUjVF1pYYvAFPHlMHj0P_k7niSpNEZnGH7rS5HjEsqp0FCljxI5ODaxpVMpPr5zWWXwEv6wkL8XnAs0),,,A traiter (-),🍄 Recherche par pertinence,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
Instagram,Alice De Ronne,,,Structure de l'action sociale,https://app.crisp.chat/website/6b9552e0-e4cd-404a-905b-215ea25692b0/inbox/session_49d4d429-763d-4b29-a497-b0ff764fb096/,La possibilité d'ajouter un lien vers une page instagram.,Plate-forme Web V2,7/5/2021,884-Renseigner un compte Instagram,,Négligeable,,,,A traiter (-),,Retour Utilisateur,,,,,29/12/2021 2:55pm,,
,Théo Dumouchel,,,Association,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recMpa0V8v23qXOKi,"Avoir des informations spécifiques pour les professionnels dans les comptes professionnels. Par exemple, savoir qu'une structure accueille mal ses usagers.",Plate-forme Web V2,7/5/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,,Anaïs BENDRA,abendra@ville-villiers-le-bel.fr,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/reces3yAyaPNMI1wS,Avoir la possibilité de mettre des services qui seraient accessibles/visibles uniquement par les comptes pros.,Multiple,16/4/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recS7nXujMUguKUDh,Qu'il soit traduit en russe + dictée et lecture vocale,Multiple,15/4/2021,,,Mineur,,,,A traiter (-),Traduction du contenu statique,Idée,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,Clara Bertrand - Bordeaux Ville Sans Sida,bdxvss@gmail.com,Association,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recy9YnAJcYxaaLdT,"Ajouter la sous-catégorie ""santé sexuelle""",Multiple,15/4/2021,,,Majeur,,,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Equipe Soliguide,,Que la recherche fonctionne aussi avec les mots du texte descriptif (et pas uniquement les noms de catégories + noms de structures) ? I don't know,Plate-forme Web V2,15/4/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Lisa Froment,Sandrine Miclon-Hautbois,,Financeur,Conseil départemental des Hauts-de-Seine,"Proposition de renommer le conseil ""Accompagnement social et conseil"" ",Multiple,12/4/2021,,,Majeur,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Lisa Froment,Sandrine Miclon-Hautbois,,Financeur,Conseil départemental,Mme Sandrine Miclon-Hautbois voudrait que le département apparaisse sous forme de pictos et que les associations subventionnées par le Soliguide soient mis en avant.,Multiple,12/4/2021,,,Négligeable,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,,,Equipe Soliguide,,"Sur l'interface des comptes pros Soliguide.fr, j'aimerais qu'il soit possible de retirer une fiche d'un organisme sans pour autant supprimer totalement la fiche de Soliguide.
Car celle-ci sera ré-associée à un autre organisme ",Plate-forme Web V2,1/4/2021,,,Mineur,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Alexandra lefeivre,,,Equipe Soliguide,,"J'aimerais intégrer la possibilité de pouvoir partager directement une fiche sur les réseaux sociaux grâce à des boutons présents sur sa fiche. 
Je me suis inspirée du compte admin HelloAsso et plus généralement des articles de blog et de news (voir les screen). J'ai mis un schéma aussi en pièce jointe. 
L'impact est plutôt côté diffusion pour nous que côté utilisateur. ",Plate-forme Web V2,1/4/2021,,,Mineur,"helloasso.PNG (https://dl.airtable.com/.attachments/2acbb28e5fb21c4a799d47a221f7e200/81ac5e72/helloasso.PNG),lemonde.PNG (https://dl.airtable.com/.attachments/fd232a9afd3cc0ae6c37dfc3f4cad54c/015e8cfd/lemonde.PNG),Partager ma fiche.jpg (https://dl.airtable.com/.attachments/f68642017774ecca67b813758df9c437/8628c05f/Partagermafiche.jpg)",,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
"Lors d'une invit, indiqué si on st déjà connecté ",Victoria Mandefield,,,Equipe Soliguide,,Afficher un message indiquant qu'on est déjà connecté en tant que  ...  et qu'on ne peut donc pas se réinscrire,Plate-forme Web V2,31/3/2021,741-Vous êtes déjà inscrit,,Négligeable,,,,A traiter (-),,Retour Utilisateur,,,,,8/11/2021 1:54pm,,
,Emilie Donque,,,Equipe Soliguide,,"Je pense que c'est un bug, est-ce possible de le régler?",Plate-forme Web V2,30/3/2021,94-Affichage LSF en front,,Mineur,"LSF apparent.png (https://dl.airtable.com/.attachments/e810325cc9d5e670959fe668b22407fa/4cc4339f/LSFapparent.png),LSF non cochée.png (https://dl.airtable.com/.attachments/56ae120ffc327a92bdc4947a59bfb308/4b1352be/LSFnoncoche.png)","l'URL où l'indication ""LSF"" est apparente: https://soliguide.fr/manage-place/11704 
l'URL où cette indication n'est pourtant pas cochée: https://soliguide.fr/admin-p1170lace/public/11704 
Merci !",,A traiter (-),,Bug,,,,,4/11/2021 12:07pm,,
,Alice De Ronne,Frederic Tandeau,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recUONr80TmCZc1HL,Ajouter une catégorie Conseil Santé,Multiple,29/3/2021,,,Mineur,,,,A traiter (-),Affiner les thématiques,Idée,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,"Afin de se projeter sur le long terme, et notamment accompagner d'autres acteurs à lancer le Soliguide sur leur territoire, il faut remettre ce concept de base de données par étapes clairs et définies. Dans un premier temps, sur airtable, mais ensuite dans soliguide directement. Pour cela  :
- faire travailler les équipes opérationnelles volontaires sur les étapes concrètes de création et gestion de la bdd, ainsi que leurs prises de décisions (ex : comment ils définissent les structures sur lesquelles ils vont agir et ce qu'ils vont faire pour chacune ?)
- proposer une formule qui prenne en compte cette grille de décision en version automatisée
- le mettre en place sur le AT du territoire
- ... un jour lointain, le mettre en place sur Soliguide",Outils (pour collaborateurs),26/3/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,Mme Founé TOURÉ,,Professionnel de l'action sociale,Centre social Asphalte,Pouvoir sélectionner cette langue pour l'afficher sur la fiche,Plate-forme Web V2,25/3/2021,,,Négligeable,,,,A traiter (-),Refonte des filtres,Idée,,,,,4/11/2021 12:07pm,,
,,Lucia,,Association,D'une bénévole de la Cloche,La traduction du site en grec :),Multiple,24/3/2021,,,Mineur,,,,A traiter (-),Traduction du contenu statique,Idée,,,,,4/11/2021 12:07pm,,
,Alice De Ronne,La Maison de la Solidarité de Gonesse,,Association,,"Ajouter ""Créole Antillais"" à la liste des langues parlées.",Multiple,24/3/2021,,,Mineur,,,,A traiter (-),Refonte des filtres,Idée,,,,,4/11/2021 12:07pm,,
