Nom du partenaire,Contact,Compte-rendu,Tags,Statut du partenariat,Domaine d'activité,Site,Opportunités,Adresse,Informations complémentaires,Rattachement à un partenaire national,Département (from CR),Département (from Contact),Département (from partenaires),Created
DDETS Nord (59),"Pascale Stoven,Cécile Soulard ,Emilie Mamcarz","""CR  Pascale Stoven, Véronique Buyens-Dagmey, Cécile Soulard  DDETS Nord (59) 2021-09-20T15:45:26.000Z"",""CR  Marjolaine Baty , Emilie Mamcarz, Jérôme Rybinski, Pascale Stoven, Céline Herbain, Anne Carriou, Marie RICAUD-SOULAN , Rodolphe Dumoulin DREETS Hauts de France , DDETS Nord (59), SIAO 59 - CMAO, Métropole Européenne de Lille, DREAL Hauts-de-France 2021-11-23T15:49:43.000Z"",""CR  Anne Carriou, Céline Herbain, Emilie Mamcarz, Grégory Laurent DDETS Nord (59), DREAL Hauts-de-France, Métropole Européenne de Lille 2022-01-17T17:17:41.000Z""",Soliguide,Contacté/ en négociation,,,,,,,"Nord,Nord,Nord","Nord,Nord,Nord",,22/6/2021
DDETS Rhône (69),"Laurent Willeman,Catherine espinasse",,Soliguide,,,,,,,,,"Rhône,Rhône",,22/6/2021
DDETS Seine Maritime (76),"Véronique de BADEREAU ,Geneviève Carrère",CR  Véronique de BADEREAU  DDETS Seine Maritime (76) 2021-06-30T07:04:25.000Z,"Soliguide,Financeur,Co-construction",,"Collectivité départementale, agence déconcentrée de l'Etat rattachée à la préfecture",,,,,,Seine-Maritime,,,30/6/2021
DDETs Var,Justine Massip,"CR  Justine Massip DDETs Var 2021-10-05T07:46:09.000Z,CR  Justine Massip DDETs Var 2021-12-09T18:01:25.000Z",,,,,,,,,"Var,Var",Var,,5/10/2021
DDETS Yvelines,"Joelle Poirier,Angelique Khaled",,Soliguide,,,,DDCS Yvelines 2019,,,,,"Yvelines,Yvelines",,21/7/2020
DDETSPP Dordogne,Virginie Monteil,"CR   DDETSPP Dordogne 2021-07-16T13:38:55.000Z,""CR  Virginie Monteil, Patricia Viale, Pauline Heckmann """"DDETSPP Haute-Vienne -Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations """", DDETSPP Dordogne 2022-01-07T15:27:56.000Z""",,,,,,,,,"Dordogne,Haute-Vienne,Dordogne",Dordogne,,16/7/2021
"DDETSPP Haute-Vienne -Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations ","Marie-Véronique Laplaud,Patricia Viale,Pauline Heckmann","""CR  Stéphane Razgallah, Aurélie Lecointre, Marie-Véronique Laplaud ARSL (association de réinsertion sociale du limousin) / SIAO Haute-vienne, CCAS de Limoges, """"DDETSPP Haute-Vienne -Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations """" 2021-11-23T11:12:51.000Z"",""CR  Virginie Monteil, Patricia Viale, Pauline Heckmann """"DDETSPP Haute-Vienne -Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations """", DDETSPP Dordogne 2022-01-07T15:27:56.000Z""","Soliguide,Financeur,Co-construction",Contacté/ en négociation,,https://www.haute-vienne.gouv.fr/Outils/Horaires-et-coordonnees/DDETSPP,,39 Avenue de la Libération - CS 33918 87031 Limoges cedex,"Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations ",,"Haute-Vienne,Haute-Vienne,Dordogne","Haute-Vienne,Haute-Vienne,Dordogne",,23/11/2021
DDETSPP Indre (36),"Myriam Bobbio,Marie merveille","""CR  Marie merveille, Myriam Bobbio DDETSPP Indre (36) 2021-04-09T16:04:31.000Z"",""CR  Marie merveille, Myriam Bobbio DDETSPP Indre (36) 2021-04-30T09:47:13.000Z"",""CR  Myriam Bobbio, Pascal Biaunier DDETSPP Indre (36), UDAF36 (union départementale des associations familiales de l'Indre) 2021-05-07T17:47:52.000Z"",""CR  Myriam Bobbio, Pascal Biaunier DDETSPP Indre (36), UDAF36 (union départementale des associations familiales de l'Indre) 2021-05-12T08:09:29.000Z"",CR  Myriam Bobbio DDETSPP Indre (36) 2021-05-21T11:06:57.000Z,""CR  Myriam Bobbio, Pascal Biaunier UDAF36 (union départementale des associations familiales de l'Indre), DDETSPP Indre (36) 2021-05-25T13:52:09.000Z""","Soliguide,Financeur",,,,,,,,"Indre,Indre,Indre,Indre,Indre,Indre",,,9/4/2021
DDETSPP Vosges,Cécile CRISTINA,CR  Cécile CRISTINA DDETSPP Vosges 2021-07-20T16:37:03.000Z,,,,,,,,,Vosges,Vosges,,20/7/2021
Défi services + 78,,,Soliguide,,,,,,,,,,,20/1/2021
Délégation interministérielle de la transformation publique,"Pauline Lavagne d’ortigue,Sabrina HEDROUG",,Financeur,,,https://www.modernisation.gouv.fr/,Défi Carte Blanche,,,,,,,3/2/2021
Délégation territoriale de Seine-Maritime de la Croix Rouge,Sylvie Malié,,Soliguide,,,https://seinemaritime.croix-rouge.fr/,,"76 rue de la République, 76000, Rouen",,,,,,18/10/2021
Département de l'Ain,Nadege Pscheniska,CR  Nadege Pscheniska Département de l'Ain 2021-04-23T10:26:00.000Z,Soliguide,,,ain.fr,,,,,Ain,,,23/4/2021
Département de l'Ardèche,"Amandine VILLARD,Olivier LEVENT,Hélène Payrastre","""CR  Amandine VILLARD, Olivier LEVENT, Hélène Payrastre Département de l'Ardèche 2021-05-04T09:27:04.000Z"",""CR  Amandine VILLARD, Olivier LEVENT, Hélène Payrastre Département de l'Ardèche 2021-05-07T17:47:47.000Z"",CR  Olivier LEVENT Département de l'Ardèche 2021-08-11T12:30:55.000Z,""CR  Olivier LEVENT, Hélène Payrastre Département de l'Ardèche 2021-09-03T12:26:56.000Z""",Soliguide,,,,,,,,"Ardèche,Ardèche,Ardèche,Ardèche",,,4/5/2021
Département de l'Eure-et-Loir,,"""CR  Thomas Guillet, Joaquim Martins beta.gouv, Département de l'Eure-et-Loir 2021-03-09T16:22:49.000Z""","Soliguide,API,Financeur",,,,,,,,Eure-et-Loir,,,9/3/2021
Département de Loire-Atlantique Référente technique action sociale – travail social Direction solidarités insertion,,,Soliguide,,,,,,,,,,,20/11/2020
Département de santé publique CHIMM,,,Soliguide,,,,,,,,,,,20/1/2021
Departement de Seine Saint Denis,,,Financeur,,,https://seinesaintdenis.fr/,"""Appel à projet ESS seine saint
  denis""",,,,,,,19/2/2020
Département du Rhône,Cécile Pich,CR  Cécile Pich Département du Rhône 2021-07-14T15:53:12.000Z,,,,,,,,,Rhône,Rhône,,14/7/2021
DGCS,"Jean-Marc Frohard,Sacha Hoyau,Tara De Condappa","CR  Sacha Hoyau DGCS 2021-02-16T13:53:40.000Z,""CR  Sarah Solchany, Tara De Condappa ANSA, DGCS 2021-12-01T09:07:02.000Z""","Soliguide,Financeur",,,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_186430,,,,,,,,3/2/2021
Diaconat de Bordeaux,Tarik BELLEFQIH,CR   Diaconat de Bordeaux 2021-11-17T09:09:11.000Z,"Merci pour l'invit',Orientation MPLI",A relancer,,,,,,,Gironde,Gironde,,4/11/2021
DIAIR / réfugiés.info,"Nour Allazkani,Hugo Stéphan,Andressa BITTENCOURT","""CR  Nour Allazkani, Hugo Stéphan DIAIR / réfugiés.info 2022-01-11T19:52:16.000Z"",""CR  Andressa BITTENCOURT, Clara Deat DIAIR / réfugiés.info, Ville de Clermont Ferrand  2022-01-27T16:11:15.000Z""","Soliguide,API",,,,,,,,"Puy-de-Dôme,Puy-de-Dôme",Puy-de-Dôme,,21/1/2021
Diapason,Fatima Bensalem,CR   Diapason 2021-11-17T09:22:18.000Z,"Merci pour l'invit',Soliguide",Contacté/ en négociation,,,,,,,Gironde,,,19/3/2021
DIHAL (direction interministérielle de l'hébergement et l'accès au logement),"Gaël Destrem,Laure Dubuc,Johanna Bouheret","CR  Johanna Bouheret DIHAL (direction interministérielle de l'hébergement et l'accès au logement) 2021-05-25T16:25:50.000Z,CR  Johanna Bouheret DIHAL (direction interministérielle de l'hébergement et l'accès au logement) 2021-11-02T15:33:11.000Z",Soliguide,,,,,,,,,,,25/5/2021
DIHAL / Résorption bidonvilles,"Manuel Demougeot,Annie  RASATANDRIANOMBANA","CR  Gaël Destrem DIHAL / Résorption bidonvilles 2021-07-16T13:47:37.000Z,CR  Annie  RASATANDRIANOMBANA DIHAL / Résorption bidonvilles 2021-11-08T10:47:28.000Z,CR  Annie  RASATANDRIANOMBANA DIHAL / Résorption bidonvilles 2021-11-19T09:42:01.000Z,CR  Annie  RASATANDRIANOMBANA DIHAL / Résorption bidonvilles 2021-12-02T11:23:26.000Z","Soliguide,API",,,,,,,,,,,21/1/2021
Diocèse de Paris - Paroisses,Sylvain Thibon,,Soliguide,Terminé,Communication / Partage de données,Convention : https://drive.google.com/drive/u/0/folders/1OIHl2Cm9sSHqdd6SLCvaDFx7Zvd-1UCk,,,"Suite à plusieurs échanges téléphoniques et rdv, nous avons convenu d'éditer des cartes et listes de structures proches des 120 paroisses de Paris. 
Notre travail : fournir les données et notre logo via des exports traditionnels.
Leur travail : retravailler le design et imprimer les supports",,,Paris,Paris,22/12/2021
DIPEEO - Raphaël Buchard,,CR   DIPEEO - Raphaël Buchard 2021-12-20T14:46:17.000Z,,Contacté/ en négociation,RGPD,,,,,,,,,20/12/2021
Direction Départementale de la Cohésion Sociale - financement développement sud des Yvelines,,,Soliguide,,,,,,,,,,,20/1/2021
Direction départementale des territoires,Luc Viart,,,,,,,,,,,Charente,,17/1/2022
Direction régionale aux droits des femmes et à l’égalité (DRDFE),Anaïs Sebire,,"Merci pour l'invit',Financeur",En cours (contact/actions régulières),,,AAP lutte contre les inégalités entre les femmes et les hommes en situation de précarité en Nouvelle Aquitaine ,,,,,Gironde,Gironde,29/11/2021
Dispositif Combo 77 - Porté par Initiatives 77,,,Soliguide,,Insertion socio-professionnelle,https://combo77.fr/,,45 avenue Thiers - 77000 Melun,https://airtable.com/appsLJJwfdueN9xqD/tbl4TlB0hec1uTyzI/viwkHknPtEZx3yoar/recq7BzWLsTtpT7AZ?blocks=hide ,,,,,17/11/2021
Doctolib,,,"Soliguide,API",,Plateforme internet d'information et prise de RDV de santé,https://www.doctolib.fr/,,,,,,,,20/5/2021
Dom'asile 78,,,Soliguide,,,,,,,,,,,20/1/2021
Domifa,,CR   Domifa 2021-01-20T12:03:24.000Z,Soliguide,,,,,,,,,,,20/1/2021
Dr Pierre Ricaud,,,Financeur,Terminé,,https://www.ricaud.com/fr-fr/la-marque/,Prix femmes en Choeur,,,,,,,3/2/2021
DREAL Hauts-de-France,Grégory Laurent,"""CR  Marjolaine Baty , Emilie Mamcarz, Jérôme Rybinski, Pascale Stoven, Céline Herbain, Anne Carriou, Marie RICAUD-SOULAN , Rodolphe Dumoulin DREETS Hauts de France , DDETS Nord (59), SIAO 59 - CMAO, Métropole Européenne de Lille, DREAL Hauts-de-France 2021-11-23T15:49:43.000Z"",""CR  Anne Carriou, Céline Herbain, Emilie Mamcarz, Grégory Laurent DDETS Nord (59), DREAL Hauts-de-France, Métropole Européenne de Lille 2022-01-17T17:17:41.000Z""","Solinum,Soliguide,Co-construction",Contacté/ en négociation,"Logement, environnement et aménagement du territoire",https://www.hauts-de-france.developpement-durable.gouv.fr/,,,,,"Nord,Nord",Nord,,23/11/2021
DREETS Bretagne,Camille Barbier-Bouvet,"""CR  Vincent Sevear, Camille Barbier-Bouvet DREETS Bretagne 2021-06-08T08:38:09.000Z"",""CR  Vincent Sevear, Camille Barbier-Bouvet DREETS Bretagne 2021-10-12T14:36:55.000Z"",CR  Vincent Sevear DREETS Bretagne 2021-10-29T14:27:15.000Z,""CR  Vincent Sevear, Camille Barbier-Bouvet DREETS Bretagne 2021-11-26T14:15:41.000Z"",""CR  Camille Barbier-Bouvet, Vincent Sevear DREETS Bretagne 2021-12-16T10:31:35.000Z""",Soliguide,,,,,,,,"Ille-et-Vilaine,Ille-et-Vilaine,Morbihan,Côtes-d'Armor,Ille-et-Vilaine,Morbihan,Côtes-d'Armor,Finistère",,,8/6/2021
DREETS des Pays de la Loire,Chrystèle Marionneau,"""CR  Chrystèle Marionneau, Chrystèle Marionneau DREETS Pays de la Loire, DREETS des Pays de la Loire 2021-09-13T17:33:02.000Z""","Soliguide,Solinum,Financeur",,Collectivité territoriale,,,,,,"Sarthe,Loire-Atlantique",,Loire-Atlantique,10/8/2021
DREETS Grand Est,Montserrat AGUAYO,"""CR  Brigitte LUX , Anoutchka CHABEAU , Marion REYNAUD, Montserrat AGUAYO DDETS Bas-Rhin, DDETS Haut-Rhin, DREETS Grand Est, Préfecture Grand Est 2021-10-12T10:16:40.000Z"",""CR  Anoutchka CHABEAU , Montserrat AGUAYO, Julien DHOMONT Préfecture Grand Est, DDETS Bas-Rhin, DDETS Haut-Rhin, DREETS Grand Est 2021-11-22T15:32:11.000Z""",Soliguide,,,https://grand-est.dreets.gouv.fr/,,"1 Rue du Chanoine Collin, 57000 Metz",,,"Haut-Rhin,Bas-Rhin,Bas-Rhin",,,12/10/2021
DREETS Hauts de France ,"Adrien Sansone,Véronique Buyens-Dagmey,Anne Duchemin,Christophe Trouillard ","""CR  Adrien Sansone, Anne Duchemin, Véronique Buyens-Dagmey, Christophe Trouillard  DREETS Hauts de France  2021-10-27T15:21:06.000Z"",CR  Anne Duchemin DREETS Hauts de France  2021-10-27T16:04:00.000Z,""CR  Marjolaine Baty , Emilie Mamcarz, Jérôme Rybinski, Pascale Stoven, Céline Herbain, Anne Carriou, Marie RICAUD-SOULAN , Rodolphe Dumoulin DREETS Hauts de France , DDETS Nord (59), SIAO 59 - CMAO, Métropole Européenne de Lille, DREAL Hauts-de-France 2021-11-23T15:49:43.000Z"",""CR  Emilie Mamcarz, Céline Herbain DREETS Hauts de France , Métropole Européenne de Lille 2021-12-08T14:39:15.000Z""","Solinum,Soliguide",Contacté/ en négociation,,https://hauts-de-france.dreets.gouv.fr/La-DREETS-Hauts-de-France,,Les Arcades de Flandre 70 rue Saint Sauveur BP 30502 59022 Lille Cedex,,,"Nord,Nord,Nord,Nord","Nord,Nord,Nord",,27/10/2021
DREETS Occitanie,,CR  Laurence Coulon DREETS Occitanie 2021-09-07T10:09:41.000Z,"Soliguide,Solinum,Financeur,Co-construction",,Collectivité ,,,,,,Hérault,,,7/9/2021
DREETS PACA,"Line BERARD,Patricia MORICE,Nathalie COVO","CR  Line BERARD DREETS PACA 2021-09-28T16:50:26.000Z,""CR  Joëlle Chenet, Line BERARD, Camille VELLA DDETS des Bouches-du-Rhône (13), DREETS PACA 2021-11-30T17:56:10.000Z"",""CR   DDETS des Bouches-du-Rhône (13), FAS PACA Corse, DTAS (Conseil Départemental 13), DREETS PACA 2022-01-05T09:45:33.000Z""","Solinum,Financeur,Soliguide",,,https://paca.dreets.gouv.fr/,2021 - Marge de manœuvre PACA 2021,,,,"Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône",,,25/8/2021
DREETS Pays de la Loire,Chrystèle Marionneau,"""CR  Chrystèle Marionneau, Chrystèle Marionneau DREETS Pays de la Loire, DREETS des Pays de la Loire 2021-09-13T17:33:02.000Z""","Solinum,Soliguide,Financeur,Co-construction",,Service déconcentré de l'Etat,,,,,,"Sarthe,Loire-Atlantique",,,13/9/2021
DRIHL,"Céline Lemma,Caroline Nigon","CR   DRIHL 2021-01-20T17:12:58.000Z,""CR  Céline Lemma, Cécile Tagliana DRIHL, Préfecture Ile-de-France 2021-02-09T16:45:30.000Z"",""CR  Caroline Nigon, Alain Jezequel DRIHL, Préfecture Ile-de-France, Association Revivre 2021-10-20T14:34:31.000Z""",Soliguide,,,,,,,,"Gironde,Val-d'Oise",,,20/1/2021
DRIHL 94,,,"Soliguide,Co-construction,Financeur",En cours (contact/actions régulières),Hébergement & Logement,,,,,,,,Val-de-Marne,19/10/2021
DRIHL Hauts de Seine (92),"Anne Bellée,Amandine El Baodi,Karine Godey",,Soliguide,Contacté/ en négociation,,,,,,,,"Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine",,22/6/2021
DRIHL Seine Saint Denis,,,"Soliguide,Financeur",,,http://www.drihl.ile-de-france.developpement-durable.gouv.fr/seine-saint-denis-93-a627.html,"DRIHL 93 2020,DRIHL 93 2021",,,,,,,3/2/2021
DRJSCS ARA,,,Soliguide,,,,,,,,,,,21/1/2021
DRJSCS Hauts-de-France,,"""CR  Véronique Buyens-Dagmey, Pascale Stoven DRJSCS Hauts-de-France 2021-01-21T12:43:02.000Z""",Soliguide,Souhaité,,,,,,,"Aisne,Nord,Oise,Somme,Pas-de-Calais",,,21/1/2021
DRJSCS Ile de France,,,"Financeur,Soliguide",,"Jeunesse, Sport, Cohésion Sociale",http://ile-de-france.drjscs.gouv.fr/,,,,Etat français,,,,18/2/2020
Droits d'urgence,Tiphaine Ligier,CR  Tiphaine Ligier Droits d'urgence 2021-12-16T17:19:10.000Z,Soliguide,Contacté/ en négociation,Juridique / Cartographie numérique,https://www.droitsdurgence.org/ https://droitdirect.fr/,,,,,Paris,Paris,Paris,16/12/2021
DTAS (Conseil Départemental 13),"Matthieu Rochelle,Olivier ROBERT,Jean-Michel MATTALIA-LANDRY,Arnaud FILIPPI,Nicolas GRONDIN ","""CR  Joëlle Chenet, Nathalie Daussy, Matthieu Rochelle DDETS des Bouches-du-Rhône (13), DTAS (Conseil Départemental 13) 2021-02-16T19:30:15.000Z"",""CR  Jean-Michel MATTALIA-LANDRY, Arnaud FILIPPI DTAS (Conseil Départemental 13) 2021-09-29T17:49:12.000Z"",CR  Nicolas GRONDIN  DTAS (Conseil Départemental 13) 2021-10-27T14:55:30.000Z,CR  Matthieu Rochelle DTAS (Conseil Départemental 13) 2021-11-30T18:11:16.000Z,""CR   DDETS des Bouches-du-Rhône (13), FAS PACA Corse, DTAS (Conseil Départemental 13), DREETS PACA 2022-01-05T09:45:33.000Z"",CR  Jean-Michel MATTALIA-LANDRY DTAS (Conseil Départemental 13) 2022-01-06T15:31:59.000Z","Soliguide,Financeur",,,,,,,,"Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône",,,16/2/2021
Du côté des femmes,,,"Soliguide,Merci pour l'invit'",,Lutte contre les violences faites aux femmes,http://www.ducotedesfemmes.asso.fr/,,,,,,,,3/2/2021
Du pain et des roses,Nicolas Thyss,CR  Nicolas Thyss Du pain et des roses 2021-05-03T10:08:00.000Z,"Merci pour l'invit',Communication,Matériel MPLI",En cours (contact/actions régulières),,https://www.dupainetdesroses.org/,,,,,,,,3/5/2021
Each One,,,Soliguide,,,,,,,,,,,20/1/2021
Emergence Périgord,Pierre Simmonet,"CR  Pierre Simmonet Emergence Périgord 2021-11-24T16:44:51.000Z,""CR  Pierre Simmonet Emergence Périgord, UDCCAS 24 2022-01-18T16:12:12.000Z""",Experts,,,,,,,,"Dordogne,Dordogne",Dordogne,Dordogne,24/11/2021
Emmaüs Connect,"Annabelle Redortier,Charlotte Bougenaux,Julia Vadagnini,Victor Estienney,Elodie Bouchot","CR  Julia Vadagnini Emmaüs Connect 2021-06-01T15:33:03.000Z,""CR  Julia Vadagnini, Victor Estienney Emmaüs Connect 2021-07-18T23:10:43.000Z"",CR  Elodie Bouchot Emmaüs Connect 2021-08-20T14:07:54.000Z","Merci pour l'invit',Matériel MPLI,Orientation MPLI",,Inclusion numérique solidaire,https://emmaus-connect.org/,,,,,Val-d'Oise,,,3/2/2021
Emmaüs Connect 94,,,"Soliguide,Opérationnel",En cours (contact/actions régulières),,,,,,Emmaüs Connect,,,Val-de-Marne,14/1/2022
Empow'Her,Joséphine PY,,"Communication,Experts",En cours (contact/actions régulières),Entrepreunariat féminin,https://empow-her.com/,"Women Act,Top 100 Women in Social Enterprise",,,,,,,28/1/2020
Emrys,Magali Cadin,,Financeur,En cours (contact/actions régulières),Micro dons,https://www.emryslacarte.fr/,,,Nous a contacté en 2021 pour adhérer à la coopérative. Les consommateurs font des achats et une partie des bénéfices est répartie entre les asso adhérentes.,,,,,1/12/2021
Entourage,"Lucie De Clerck,Caroline De Chaisemartin,Flore de Rufz,Isaure Pierens,Clara Guillotin,Marine CADENE,Audrey Gamelon,Nicolas Chafai,Marion Debonnaire,Quitterie Ducret","CR  Marine CADENE Entourage 2021-06-02T06:12:12.000Z,CR  Audrey Gamelon Entourage 2021-06-03T13:27:26.000Z,""CR  Nicolas Chafai, Marion Debonnaire Entourage 2021-06-04T10:22:55.000Z"",CR  Clara Guillotin Entourage 2021-09-23T12:07:57.000Z,CR  Quitterie Ducret Entourage 2021-10-06T13:01:18.000Z,CR  Caroline De Chaisemartin Entourage 2021-10-22T12:57:48.000Z,CR  Nicolas Chafai Entourage 2021-12-10T09:47:37.000Z","Merci pour l'invit',Soliguide,API,Communication,Insertion MPLI",En cours (contact/actions régulières),,,,,,,"Rhône,Hauts-de-Seine,Paris,Ille-et-Vilaine,Ille-et-Vilaine",,,21/1/2021
Espace Ararat,,,Locaux,,,https://www.espace-ararat.com/nos-salles-2,,"11 Rue Martin Bernard, 75013 Paris","Capacité d'accueil/Matériel
> Auditorium de 96 pers
> Grande salle pour 200 pers

Prix
> 

Personne à contacter
>",,,,,20/4/2021
Espace départemental d'actions sociales (EDAS) - Issy les Moulineaux,Mme Pérez,,Orientation MPLI,A relancer,,,,,,,,Hauts-de-Seine,,2/11/2021
Espace Départemental des Solidarités d’Orly,Ingrid DOUCET,CR  Ingrid DOUCET Espace Départemental des Solidarités d’Orly 2021-07-23T08:42:33.000Z,Merci pour l'invit',,Accompagnement social,https://www.valdemarne.fr/a-votre-service/autonomie/espace-des-solidarites-eds-orly,,,,,Val-de-Marne,,,23/7/2021
ESS Expertise,Jérémy Fin,CR  Jérémy Fin ESS Expertise 2021-04-02T15:31:03.000Z,Experts,,Expertise comptable,,,,,,,,,2/4/2021
ESSEC,"Jérôme Schatzmann,Emmanuelle Bomble,Florence DANOUF,Unnamed record,Elise Leclerc","CR   ESSEC 2021-07-21T12:06:20.000Z,CR   ESSEC 2021-08-31T12:41:53.000Z,CR  Elise Leclerc ESSEC 2021-09-07T07:54:49.000Z,CR  Jérôme Schatzmann ESSEC 2021-11-17T11:31:35.000Z",Experts,,Programme d'accompagnement Scale Up ,https://antropia-essec.fr/,"Antropia Scale-up,GSVC ESSEC / Fondation caritas,Implantation 95,Grand prix essec,Scale up association Antropia",,,,,,,19/2/2020
ESSpace,ESSpace,,Locaux,,,https://www.esspace.coop/locations ,,"15 Rue Jean Antoine de Baïf, 75013 Paris","Capacité d'accueil/Matériel
> Espace Bar : 80 à 130 pers
> Grande salle de réunion : 20 pers
> Petite salle de réunion 4 pers

Prix
> Espace bar : tarif sur devis
> Grande salle de réunion : 384TTC la journée
> Petite salle : à partir de 80euros HT

Personne à contacter
> https://www.esspace.coop/locations",,,,,20/4/2021
Est Ensemble,,,"Financeur,Soliguide",,Cohésion du territoire,https://www.est-ensemble.fr/,"Trophées de l'ESS Est ensemble 2018,ESS Est ensemble 2021,Appel à projet 2022 du Contrat de ville",,,,,,,19/2/2020
Etalab,Arnaud de Champsavin,CR  Arnaud de Champsavin Etalab 2021-12-13T10:26:36.000Z,,,,,,,,Etat français,,,,13/12/2021
Etat français,,,,En cours (contact/actions régulières),,,,,,,,,,5/11/2021
Ethik'do,,,Financeur,En cours (contact/actions régulières),,https://www.ethikdo.co/,Ethik'do,,,,,,,3/2/2021
Ethnotopie,,CR   Ethnotopie 2021-11-17T09:14:14.000Z,Merci pour l'invit',Souhaité,,,,,,,Gironde,,,19/3/2021
Eurométropole de Strasbourg,"Benjamin Soulet ,Agathe Guillet","CR  Benjamin Soulet  Eurométropole de Strasbourg 2021-09-08T15:50:32.000Z,CR  Agathe Guillet Eurométropole de Strasbourg 2021-09-22T16:15:22.000Z,CR  Agathe Guillet Eurométropole de Strasbourg 2021-11-29T09:25:11.000Z,CR  Agathe Guillet Eurométropole de Strasbourg 2022-01-20T16:48:27.000Z",Soliguide,,,https://www.strasbourg.eu/,,,,,"Bas-Rhin,Bas-Rhin,Bas-Rhin,Bas-Rhin",,,8/9/2021
Eurométropole Strasbourg (Service Géomatique et Connaissance du Territoire),Olivier Banaszak,CR  Olivier Banaszak Eurométropole Strasbourg (Service Géomatique et Connaissance du Territoire) 2021-07-16T13:48:41.000Z,"Soliguide,API",,,https://www.strasbourg.eu/,,,,,Bas-Rhin,,,3/2/2021
European Regional Development Fund,,,Financeur,,"Changements démographique, Economie circulaire, qualité de l'air, héritage culturel",https://ec.europa.eu/regional_policy/en/funding/erdf/,Urban Innovative Action,,,,,,,18/2/2020
